MOVE 0.000000 0.000000
MOVE -0.046502 0.009078 1.300000
MOVE -0.046502 0.009078 1.000000
DRAW -0.046502 0.009078 1.000000
DRAW -0.041263 0.017394 1.000000
DRAW -0.035787 0.025491 1.000000
DRAW -0.030112 0.033495 1.000000
DRAW -0.025647 0.042348 1.000000
DRAW -0.020982 0.050991 1.000000
DRAW -0.016941 0.060020 1.000000
DRAW -0.012192 0.068704 1.000000
DRAW -0.009239 0.077983 1.000000
DRAW -0.006277 0.087254 1.000000
DRAW -0.002051 0.096022 1.000000
DRAW 0.001301 0.105185 1.000000
DRAW 0.004422 0.114384 1.000000
DRAW 0.009881 0.122592 1.000000
DRAW 0.018956 0.126057 1.000000
DRAW 0.028807 0.124740 1.000000
DRAW 0.035834 0.117615 1.000000
DRAW 0.039098 0.108590 1.000000
DRAW 0.044239 0.100213 1.000000
DRAW 0.049438 0.091890 1.000000
DRAW 0.054453 0.083406 1.000000
DRAW 0.059777 0.075191 1.000000
DRAW 0.066830 0.067994 1.000000
DRAW 0.072076 0.059713 1.000000
DRAW 0.079204 0.052585 1.000000
DRAW 0.087528 0.047389 1.000000
DRAW 0.094681 0.040287 1.000000
DRAW 0.103354 0.036503 1.000000
DRAW 0.111104 0.030224 1.000000
DRAW 0.119436 0.025036 1.000000
DRAW 0.128319 0.021129 1.000000
DRAW 0.137471 0.017672 1.000000
DRAW 0.146439 0.013461 1.000000
DRAW 0.153473 0.006342 1.000000
DRAW 0.154674 -0.003539 1.000000
DRAW 0.151040 -0.012545 1.000000
DRAW 0.143913 -0.019673 1.000000
DRAW 0.136469 -0.026411 1.000000
DRAW 0.128360 -0.031889 1.000000
DRAW 0.119140 -0.034907 1.000000
DRAW 0.110822 -0.040143 1.000000
DRAW 0.102272 -0.045050 1.000000
DRAW 0.093348 -0.049367 1.000000
DRAW 0.083783 -0.051012 1.000000
DRAW 0.074519 -0.053984 1.000000
DRAW 0.065250 -0.056948 1.000000
DRAW 0.055722 -0.059285 1.000000
DRAW 0.045641 -0.059285 1.000000
DRAW 0.036447 -0.062464 1.000000
DRAW 0.026367 -0.062464 1.000000
DRAW 0.017173 -0.065644 1.000000
DRAW 0.007093 -0.065644 1.000000
DRAW -0.002988 -0.065644 1.000000
DRAW -0.013068 -0.065644 1.000000
DRAW -0.022262 -0.062464 1.000000
DRAW -0.032343 -0.062464 1.000000
DRAW -0.042094 -0.060797 1.000000
DRAW -0.051342 -0.057804 1.000000
DRAW -0.060584 -0.054800 1.000000
DRAW -0.068687 -0.049740 1.000000
DRAW -0.077237 -0.045013 1.000000
DRAW -0.081542 -0.036285 1.000000
DRAW -0.080751 -0.026310 1.000000
DRAW -0.074208 -0.018731 1.000000
DRAW -0.066827 -0.011909 1.000000
DRAW -0.060590 -0.005300 1.000000
DRAW -0.053561 0.001917 1.000000
DRAW -0.046502 0.009078 1.000000
MOVE -0.046502 0.009078 1.300000
MOVE -0.132666 -0.058111 1.300000
MOVE -0.132666 -0.058111 1.000000
DRAW -0.132666 -0.058111 1.000000
DRAW -0.122032 -0.050805 1.000000
DRAW -0.129875 -0.054609 1.000000
DRAW -0.132666 -0.058111 1.000000
MOVE -0.132666 -0.058111 1.300000
MOVE -0.145387 -0.061292 1.300000
MOVE -0.145387 -0.061292 1.000000
DRAW -0.145387 -0.061292 1.000000
DRAW -0.145387 -0.061292 1.000000
MOVE -0.145387 -0.061292 1.300000
MOVE 0.050772 -0.092772 1.300000
MOVE 0.050772 -0.092772 1.000000
DRAW 0.050772 -0.092772 1.000000
DRAW 0.051080 -0.092464 1.000000
MOVE 0.051080 -0.092464 1.300000
MOVE 0.051783 -0.110836 1.300000
MOVE 0.051783 -0.110836 1.000000
DRAW 0.051783 -0.110836 1.000000
DRAW 0.056841 -0.101562 1.000000
DRAW 0.064065 -0.093827 1.000000
DRAW 0.071557 -0.086335 1.000000
DRAW 0.079050 -0.078842 1.000000
DRAW 0.085527 -0.071939 1.000000
DRAW 0.075511 -0.075241 1.000000
DRAW 0.065492 -0.078535 1.000000
DRAW 0.054952 -0.079285 1.000000
DRAW 0.044747 -0.081327 1.000000
DRAW 0.034256 -0.082464 1.000000
DRAW 0.024101 -0.084906 1.000000
DRAW 0.029972 -0.088778 1.000000
DRAW 0.038637 -0.094781 1.000000
DRAW 0.046102 -0.102300 1.000000
DRAW 0.051783 -0.110836 1.000000
MOVE 0.051783 -0.110836 1.300000
MOVE 0.144277 -0.044976 1.300000
MOVE 0.144277 -0.044976 1.000000
DRAW 0.144277 -0.044976 1.000000
DRAW 0.149469 -0.036707 1.000000
DRAW 0.154591 -0.028405 1.000000
DRAW 0.159715 -0.020105 1.000000
DRAW 0.163291 -0.011161 1.000000
DRAW 0.167724 -0.002554 1.000000
DRAW 0.176260 0.002049 1.000000
DRAW 0.178139 0.004423 1.000000
DRAW 0.169155 0.008384 1.000000
DRAW 0.160481 0.013028 1.000000
DRAW 0.151745 0.017337 1.000000
DRAW 0.143852 0.023246 1.000000
DRAW 0.135550 0.028368 1.000000
DRAW 0.127248 0.033491 1.000000
DRAW 0.119690 0.039664 1.000000
DRAW 0.111865 0.045694 1.000000
DRAW 0.104785 0.052774 1.000000
DRAW 0.097705 0.059854 1.000000
DRAW 0.090624 0.066935 1.000000
DRAW 0.083544 0.074015 1.000000
DRAW 0.077710 0.081951 1.000000
DRAW 0.071341 0.089397 1.000000
DRAW 0.066219 0.097699 1.000000
DRAW 0.061100 0.106004 1.000000
DRAW 0.055975 0.114303 1.000000
DRAW 0.050912 0.122660 1.000000
DRAW 0.046370 0.131395 1.000000
DRAW 0.042523 0.140411 1.000000
DRAW 0.039397 0.149541 1.000000
DRAW 0.036105 0.158642 1.000000
DRAW 0.032925 0.167768 1.000000
DRAW 0.029746 0.176895 1.000000
DRAW 0.027064 0.186074 1.000000
DRAW 0.025586 0.195651 1.000000
DRAW 0.023386 0.205161 1.000000
DRAW 0.020819 0.214360 1.000000
DRAW 0.020207 0.224301 1.000000
DRAW 0.017619 0.233495 1.000000
DRAW 0.017029 0.243440 1.000000
DRAW 0.021622 0.251980 1.000000
DRAW 0.030226 0.256423 1.000000
DRAW 0.040157 0.255756 1.000000
DRAW 0.047695 0.249310 1.000000
DRAW 0.052883 0.241068 1.000000
DRAW 0.060014 0.234094 1.000000
DRAW 0.068266 0.228865 1.000000
DRAW 0.077790 0.227324 1.000000
DRAW 0.086966 0.224626 1.000000
DRAW 0.096979 0.224626 1.000000
DRAW 0.106612 0.225599 1.000000
DRAW 0.116119 0.227806 1.000000
DRAW 0.124116 0.233013 1.000000
DRAW 0.132133 0.238485 1.000000
DRAW 0.138262 0.246069 1.000000
DRAW 0.144275 0.253896 1.000000
DRAW 0.147418 0.263024 1.000000
DRAW 0.150572 0.272152 1.000000
DRAW 0.150572 0.282165 1.000000
DRAW 0.150572 0.292178 1.000000
DRAW 0.150572 0.302191 1.000000
DRAW 0.150811 0.312187 1.000000
DRAW 0.156575 0.320161 1.000000
DRAW 0.165762 0.323196 1.000000
DRAW 0.175775 0.323196 1.000000
DRAW 0.185410 0.321370 1.000000
DRAW 0.194607 0.318421 1.000000
DRAW 0.203794 0.315457 1.000000
DRAW 0.212974 0.312480 1.000000
DRAW 0.222145 0.309486 1.000000
DRAW 0.231308 0.306478 1.000000
DRAW 0.240010 0.301879 1.000000
DRAW 0.248707 0.297493 1.000000
DRAW 0.257842 0.294400 1.000000
DRAW 0.266975 0.291289 1.000000
DRAW 0.275962 0.287339 1.000000
DRAW 0.284641 0.282705 1.000000
DRAW 0.293369 0.278380 1.000000
DRAW 0.302269 0.274177 1.000000
DRAW 0.310796 0.269324 1.000000
DRAW 0.319740 0.265379 1.000000
DRAW 0.327617 0.259603 1.000000
DRAW 0.336647 0.256192 1.000000
DRAW 0.344910 0.251028 1.000000
DRAW 0.353251 0.245947 1.000000
DRAW 0.361552 0.240824 1.000000
DRAW 0.369855 0.235702 1.000000
DRAW 0.378157 0.230579 1.000000
DRAW 0.386436 0.225432 1.000000
DRAW 0.394761 0.220335 1.000000
DRAW 0.401841 0.213254 1.000000
DRAW 0.410143 0.208133 1.000000
DRAW 0.417223 0.201052 1.000000
DRAW 0.421764 0.192490 1.000000
DRAW 0.421765 0.182477 1.000000
DRAW 0.419292 0.173066 1.000000
DRAW 0.416377 0.163843 1.000000
DRAW 0.411972 0.155156 1.000000
DRAW 0.407820 0.146236 1.000000
DRAW 0.403010 0.137677 1.000000
DRAW 0.398990 0.128779 1.000000
DRAW 0.394593 0.119967 1.000000
DRAW 0.389087 0.111952 1.000000
