# Траектория дрона drone_01
# Цвет: black
# Команд: 79983
# Общая дистанция: 66.333 м
# Дистанция рисования: 30.090 м
# Расход краски: 3.01 мл

MOVE -0.022915 0.003117 1.300000
MOVE -0.022915 0.003117 1.000000
DRAW -0.022915 0.003117 1.000000 0.500
DRAW -0.022795 0.003191 1.000000 0.500
DRAW -0.022674 0.003264 1.000000 0.500
DRAW -0.022551 0.003335 1.000000 0.500
DRAW -0.022428 0.003404 1.000000 0.500
DRAW -0.022303 0.003471 1.000000 0.500
DRAW -0.022178 0.003536 1.000000 0.500
DRAW -0.022052 0.003600 1.000000 0.500
DRAW -0.021924 0.003662 1.000000 0.500
DRAW -0.021796 0.003722 1.000000 0.500
DRAW -0.021668 0.003780 1.000000 0.500
DRAW -0.021538 0.003837 1.000000 0.500
DRAW -0.021407 0.003891 1.000000 0.500
DRAW -0.021276 0.003944 1.000000 0.500
DRAW -0.021144 0.003995 1.000000 0.500
DRAW -0.021012 0.004044 1.000000 0.500
DRAW -0.020878 0.004091 1.000000 0.500
DRAW -0.020744 0.004136 1.000000 0.500
DRAW -0.020610 0.004180 1.000000 0.500
DRAW -0.020475 0.004221 1.000000 0.500
DRAW -0.020339 0.004261 1.000000 0.500
DRAW -0.020202 0.004298 1.000000 0.500
DRAW -0.020066 0.004334 1.000000 0.500
DRAW -0.019928 0.004368 1.000000 0.500
DRAW -0.019790 0.004400 1.000000 0.500
DRAW -0.019652 0.004429 1.000000 0.500
DRAW -0.019514 0.004457 1.000000 0.500
DRAW -0.019375 0.004483 1.000000 0.500
DRAW -0.019235 0.004507 1.000000 0.500
DRAW -0.019096 0.004529 1.000000 0.500
DRAW -0.018956 0.004549 1.000000 0.500
DRAW -0.018815 0.004567 1.000000 0.500
DRAW -0.018675 0.004583 1.000000 0.500
DRAW -0.018534 0.004597 1.000000 0.500
DRAW -0.018393 0.004609 1.000000 0.500
DRAW -0.018252 0.004619 1.000000 0.500
DRAW -0.018111 0.004627 1.000000 0.500
DRAW -0.017970 0.004634 1.000000 0.500
DRAW -0.017828 0.004638 1.000000 0.500
DRAW -0.017687 0.004640 1.000000 0.500
DRAW -0.013741 0.004640 1.000000 0.500
DRAW -0.013610 0.004722 1.000000 0.500
DRAW -0.013488 0.004794 1.000000 0.500
DRAW -0.013366 0.004865 1.000000 0.500
DRAW -0.013243 0.004934 1.000000 0.500
DRAW -0.013118 0.005001 1.000000 0.500
DRAW -0.012993 0.005067 1.000000 0.500
DRAW -0.012867 0.005131 1.000000 0.500
DRAW -0.012611 0.005253 1.000000 0.500
DRAW -0.012483 0.005311 1.000000 0.500
DRAW -0.012353 0.005367 1.000000 0.500
DRAW -0.012223 0.005422 1.000000 0.500
DRAW -0.012091 0.005475 1.000000 0.500
DRAW -0.011959 0.005526 1.000000 0.500
DRAW -0.011827 0.005575 1.000000 0.500
DRAW -0.011693 0.005622 1.000000 0.500
DRAW -0.011559 0.005667 1.000000 0.500
DRAW -0.011425 0.005711 1.000000 0.500
DRAW -0.011290 0.005752 1.000000 0.500
DRAW -0.011154 0.005792 1.000000 0.500
DRAW -0.011018 0.005830 1.000000 0.500
DRAW -0.010881 0.005865 1.000000 0.500
DRAW -0.010743 0.005899 1.000000 0.500
DRAW -0.010606 0.005931 1.000000 0.500
DRAW -0.010467 0.005961 1.000000 0.500
DRAW -0.010329 0.005989 1.000000 0.500
DRAW -0.010190 0.006015 1.000000 0.500
DRAW -0.010050 0.006039 1.000000 0.500
DRAW -0.009911 0.006061 1.000000 0.500
DRAW -0.009771 0.006081 1.000000 0.500
DRAW -0.009630 0.006099 1.000000 0.500
DRAW -0.009490 0.006115 1.000000 0.500
DRAW -0.009349 0.006129 1.000000 0.500
DRAW -0.009208 0.006141 1.000000 0.500
DRAW -0.009067 0.006151 1.000000 0.500
DRAW -0.008926 0.006159 1.000000 0.500
DRAW -0.008785 0.006165 1.000000 0.500
DRAW -0.008643 0.006170 1.000000 0.500
DRAW -0.008502 0.006172 1.000000 0.500
DRAW -0.003020 0.006172 1.000000 0.500
DRAW -0.003007 0.006180 1.000000 0.500
DRAW -0.002887 0.006254 1.000000 0.500
DRAW -0.002766 0.006327 1.000000 0.500
DRAW -0.002643 0.006398 1.000000 0.500
DRAW -0.002520 0.006467 1.000000 0.500
DRAW -0.002395 0.006534 1.000000 0.500
DRAW -0.002270 0.006599 1.000000 0.500
DRAW -0.002144 0.006663 1.000000 0.500
DRAW -0.002016 0.006725 1.000000 0.500
DRAW -0.001888 0.006785 1.000000 0.500
DRAW -0.001760 0.006843 1.000000 0.500
DRAW -0.001630 0.006900 1.000000 0.500
DRAW -0.001499 0.006954 1.000000 0.500
DRAW -0.001368 0.007007 1.000000 0.500
DRAW -0.001236 0.007058 1.000000 0.500
DRAW -0.001104 0.007107 1.000000 0.500
DRAW -0.000970 0.007154 1.000000 0.500
DRAW -0.000836 0.007199 1.000000 0.500
DRAW -0.000702 0.007243 1.000000 0.500
DRAW -0.000567 0.007284 1.000000 0.500
DRAW -0.000431 0.007324 1.000000 0.500
DRAW -0.000294 0.007361 1.000000 0.500
DRAW -0.000158 0.007397 1.000000 0.500
DRAW -0.000020 0.007431 1.000000 0.500
DRAW 0.000118 0.007463 1.000000 0.500
DRAW 0.000256 0.007492 1.000000 0.500
DRAW 0.000394 0.007520 1.000000 0.500
DRAW 0.000533 0.007546 1.000000 0.500
DRAW 0.000673 0.007570 1.000000 0.500
DRAW 0.000812 0.007592 1.000000 0.500
DRAW 0.000952 0.007612 1.000000 0.500
DRAW 0.001093 0.007630 1.000000 0.500
DRAW 0.001233 0.007646 1.000000 0.500
DRAW 0.001374 0.007660 1.000000 0.500
DRAW 0.001515 0.007672 1.000000 0.500
DRAW 0.001527 0.007673 1.000000 0.500
DRAW 0.001587 0.007711 1.000000 0.500
DRAW 0.001707 0.007785 1.000000 0.500
DRAW 0.001828 0.007858 1.000000 0.500
DRAW 0.001951 0.007929 1.000000 0.500
DRAW 0.002074 0.007998 1.000000 0.500
DRAW 0.002199 0.008065 1.000000 0.500
DRAW 0.002324 0.008130 1.000000 0.500
DRAW 0.002450 0.008194 1.000000 0.500
DRAW 0.002578 0.008256 1.000000 0.500
DRAW 0.002706 0.008316 1.000000 0.500
DRAW 0.002834 0.008374 1.000000 0.500
DRAW 0.002964 0.008431 1.000000 0.500
DRAW 0.003095 0.008485 1.000000 0.500
DRAW 0.003226 0.008538 1.000000 0.500
DRAW 0.003358 0.008589 1.000000 0.500
DRAW 0.003490 0.008638 1.000000 0.500
DRAW 0.003624 0.008685 1.000000 0.500
DRAW 0.003758 0.008730 1.000000 0.500
DRAW 0.003892 0.008774 1.000000 0.500
DRAW 0.004027 0.008815 1.000000 0.500
DRAW 0.004163 0.008855 1.000000 0.500
DRAW 0.004300 0.008892 1.000000 0.500
DRAW 0.004436 0.008928 1.000000 0.500
DRAW 0.004574 0.008962 1.000000 0.500
DRAW 0.004712 0.008994 1.000000 0.500
DRAW 0.004850 0.009023 1.000000 0.500
DRAW 0.004988 0.009051 1.000000 0.500
DRAW 0.005127 0.009077 1.000000 0.500
DRAW 0.005267 0.009101 1.000000 0.500
DRAW 0.005406 0.009123 1.000000 0.500
DRAW 0.005546 0.009143 1.000000 0.500
DRAW 0.005687 0.009161 1.000000 0.500
DRAW 0.005827 0.009177 1.000000 0.500
DRAW 0.005968 0.009191 1.000000 0.500
DRAW 0.006109 0.009203 1.000000 0.500
DRAW 0.006118 0.009204 1.000000 0.500
DRAW 0.006298 0.009316 1.000000 0.500
DRAW 0.006420 0.009388 1.000000 0.500
DRAW 0.006542 0.009459 1.000000 0.500
DRAW 0.006665 0.009528 1.000000 0.500
DRAW 0.006790 0.009595 1.000000 0.500
DRAW 0.006915 0.009661 1.000000 0.500
DRAW 0.007041 0.009725 1.000000 0.500
DRAW 0.007297 0.009847 1.000000 0.500
DRAW 0.007425 0.009905 1.000000 0.500
DRAW 0.007555 0.009961 1.000000 0.500
DRAW 0.007685 0.010016 1.000000 0.500
DRAW 0.007817 0.010069 1.000000 0.500
DRAW 0.007949 0.010120 1.000000 0.500
DRAW 0.008081 0.010169 1.000000 0.500
DRAW 0.008215 0.010216 1.000000 0.500
DRAW 0.008349 0.010261 1.000000 0.500
DRAW 0.008483 0.010305 1.000000 0.500
DRAW 0.008618 0.010346 1.000000 0.500
DRAW 0.008754 0.010386 1.000000 0.500
DRAW 0.008890 0.010424 1.000000 0.500
DRAW 0.009027 0.010459 1.000000 0.500
DRAW 0.009165 0.010493 1.000000 0.500
DRAW 0.009302 0.010525 1.000000 0.500
DRAW 0.009441 0.010555 1.000000 0.500
DRAW 0.009579 0.010583 1.000000 0.500
DRAW 0.009718 0.010609 1.000000 0.500
DRAW 0.009858 0.010633 1.000000 0.500
DRAW 0.009997 0.010655 1.000000 0.500
DRAW 0.010137 0.010675 1.000000 0.500
DRAW 0.010278 0.010693 1.000000 0.500
DRAW 0.010418 0.010709 1.000000 0.500
DRAW 0.010559 0.010723 1.000000 0.500
DRAW 0.010700 0.010735 1.000000 0.500
DRAW 0.010841 0.010745 1.000000 0.500
DRAW 0.010982 0.010753 1.000000 0.500
DRAW 0.011123 0.010759 1.000000 0.500
DRAW 0.011265 0.010764 1.000000 0.500
DRAW 0.011406 0.010766 1.000000 0.500
DRAW 0.012294 0.010766 1.000000 0.500
DRAW 0.012307 0.010774 1.000000 0.500
DRAW 0.012427 0.010848 1.000000 0.500
DRAW 0.012548 0.010921 1.000000 0.500
DRAW 0.012671 0.010992 1.000000 0.500
DRAW 0.012794 0.011061 1.000000 0.500
DRAW 0.012919 0.011128 1.000000 0.500
DRAW 0.013044 0.011193 1.000000 0.500
DRAW 0.013170 0.011257 1.000000 0.500
DRAW 0.013298 0.011319 1.000000 0.500
DRAW 0.013426 0.011379 1.000000 0.500
DRAW 0.013554 0.011437 1.000000 0.500
DRAW 0.013684 0.011494 1.000000 0.500
DRAW 0.013815 0.011548 1.000000 0.500
DRAW 0.013946 0.011601 1.000000 0.500
DRAW 0.014078 0.011652 1.000000 0.500
DRAW 0.014210 0.011701 1.000000 0.500
DRAW 0.014344 0.011748 1.000000 0.500
DRAW 0.014478 0.011793 1.000000 0.500
DRAW 0.014612 0.011837 1.000000 0.500
DRAW 0.014739 0.011876 1.000000 0.500
DRAW 0.014787 0.011911 1.000000 0.500
DRAW 0.014901 0.011994 1.000000 0.500
DRAW 0.015017 0.012074 1.000000 0.500
DRAW 0.015135 0.012154 1.000000 0.500
DRAW 0.015253 0.012231 1.000000 0.500
DRAW 0.015372 0.012307 1.000000 0.500
DRAW 0.015493 0.012381 1.000000 0.500
DRAW 0.015614 0.012453 1.000000 0.500
DRAW 0.015737 0.012524 1.000000 0.500
DRAW 0.015860 0.012593 1.000000 0.500
DRAW 0.015985 0.012660 1.000000 0.500
DRAW 0.016110 0.012726 1.000000 0.500
DRAW 0.016236 0.012789 1.000000 0.500
DRAW 0.016363 0.012851 1.000000 0.500
DRAW 0.016492 0.012911 1.000000 0.500
DRAW 0.016620 0.012970 1.000000 0.500
DRAW 0.016750 0.013026 1.000000 0.500
DRAW 0.016881 0.013081 1.000000 0.500
DRAW 0.017012 0.013133 1.000000 0.500
DRAW 0.017144 0.013184 1.000000 0.500
DRAW 0.017276 0.013233 1.000000 0.500
DRAW 0.017410 0.013280 1.000000 0.500
DRAW 0.017544 0.013325 1.000000 0.500
DRAW 0.017678 0.013369 1.000000 0.500
DRAW 0.017799 0.013405 1.000000 0.500
DRAW 0.017847 0.013441 1.000000 0.500
DRAW 0.017962 0.013524 1.000000 0.500
DRAW 0.018078 0.013605 1.000000 0.500
DRAW 0.018195 0.013684 1.000000 0.500
DRAW 0.018313 0.013761 1.000000 0.500
DRAW 0.018433 0.013837 1.000000 0.500
DRAW 0.018553 0.013911 1.000000 0.500
DRAW 0.018674 0.013984 1.000000 0.500
DRAW 0.018797 0.014055 1.000000 0.500
DRAW 0.018920 0.014124 1.000000 0.500
DRAW 0.019045 0.014191 1.000000 0.500
DRAW 0.019170 0.014256 1.000000 0.500
DRAW 0.019296 0.014320 1.000000 0.500
DRAW 0.019424 0.014382 1.000000 0.500
DRAW 0.019552 0.014442 1.000000 0.500
DRAW 0.019680 0.014500 1.000000 0.500
DRAW 0.019810 0.014557 1.000000 0.500
DRAW 0.019941 0.014611 1.000000 0.500
DRAW 0.020072 0.014664 1.000000 0.500
DRAW 0.020204 0.014715 1.000000 0.500
DRAW 0.020336 0.014764 1.000000 0.500
DRAW 0.020470 0.014811 1.000000 0.500
DRAW 0.020604 0.014856 1.000000 0.500
DRAW 0.020631 0.014865 1.000000 0.500
DRAW 0.021260 0.015494 1.000000 0.500
DRAW 0.021361 0.015593 1.000000 0.500
DRAW 0.021463 0.015691 1.000000 0.500
DRAW 0.021566 0.015788 1.000000 0.500
DRAW 0.021671 0.015883 1.000000 0.500
DRAW 0.021714 0.015921 1.000000 0.500
DRAW 0.021673 0.015936 1.000000 0.500
DRAW 0.021542 0.015988 1.000000 0.500
DRAW 0.021411 0.016042 1.000000 0.500
DRAW 0.021281 0.016097 1.000000 0.500
DRAW 0.021151 0.016155 1.000000 0.500
DRAW 0.021023 0.016214 1.000000 0.500
DRAW 0.020895 0.016275 1.000000 0.500
DRAW 0.020769 0.016337 1.000000 0.500
DRAW 0.020643 0.016402 1.000000 0.500
DRAW 0.020518 0.016468 1.000000 0.500
DRAW 0.020394 0.016536 1.000000 0.500
DRAW 0.020271 0.016606 1.000000 0.500
DRAW 0.020149 0.016678 1.000000 0.500
DRAW 0.020028 0.016751 1.000000 0.500
DRAW 0.019908 0.016826 1.000000 0.500
DRAW 0.019789 0.016902 1.000000 0.500
DRAW 0.019671 0.016981 1.000000 0.500
DRAW 0.019555 0.017061 1.000000 0.500
DRAW 0.019439 0.017142 1.000000 0.500
DRAW 0.019325 0.017226 1.000000 0.500
DRAW 0.019212 0.017310 1.000000 0.500
DRAW 0.019100 0.017397 1.000000 0.500
DRAW 0.018989 0.017485 1.000000 0.500
DRAW 0.018880 0.017574 1.000000 0.500
DRAW 0.018772 0.017666 1.000000 0.500
DRAW 0.018665 0.017758 1.000000 0.500
DRAW 0.018559 0.017852 1.000000 0.500
DRAW 0.018455 0.017948 1.000000 0.500
DRAW 0.018352 0.018045 1.000000 0.500
DRAW 0.018251 0.018144 1.000000 0.500
DRAW 0.018197 0.018197 1.000000 0.500
DRAW 0.016466 0.019928 1.000000 0.500
DRAW 0.016342 0.019943 1.000000 0.500
DRAW 0.016201 0.019962 1.000000 0.500
DRAW 0.016062 0.019983 1.000000 0.500
DRAW 0.015922 0.020006 1.000000 0.500
DRAW 0.015783 0.020031 1.000000 0.500
DRAW 0.015644 0.020057 1.000000 0.500
DRAW 0.015506 0.020086 1.000000 0.500
DRAW 0.015368 0.020117 1.000000 0.500
DRAW 0.015230 0.020150 1.000000 0.500
DRAW 0.015093 0.020184 1.000000 0.500
DRAW 0.014956 0.020221 1.000000 0.500
DRAW 0.014820 0.020259 1.000000 0.500
DRAW 0.014685 0.020300 1.000000 0.500
DRAW 0.014550 0.020342 1.000000 0.500
DRAW 0.014415 0.020386 1.000000 0.500
DRAW 0.014282 0.020432 1.000000 0.500
DRAW 0.014016 0.020530 1.000000 0.500
DRAW 0.013885 0.020582 1.000000 0.500
DRAW 0.013754 0.020636 1.000000 0.500
DRAW 0.013624 0.020691 1.000000 0.500
DRAW 0.013494 0.020749 1.000000 0.500
DRAW 0.013366 0.020808 1.000000 0.500
DRAW 0.013238 0.020869 1.000000 0.500
DRAW 0.013112 0.020931 1.000000 0.500
DRAW 0.012986 0.020996 1.000000 0.500
DRAW 0.012861 0.021062 1.000000 0.500
DRAW 0.012737 0.021130 1.000000 0.500
DRAW 0.012614 0.021200 1.000000 0.500
DRAW 0.012492 0.021272 1.000000 0.500
DRAW 0.012371 0.021345 1.000000 0.500
DRAW 0.012251 0.021420 1.000000 0.500
DRAW 0.012132 0.021496 1.000000 0.500
DRAW 0.012014 0.021575 1.000000 0.500
DRAW 0.011898 0.021655 1.000000 0.500
DRAW 0.011782 0.021736 1.000000 0.500
DRAW 0.011668 0.021820 1.000000 0.500
DRAW 0.011555 0.021904 1.000000 0.500
DRAW 0.011443 0.021991 1.000000 0.500
DRAW 0.011332 0.022079 1.000000 0.500
DRAW 0.011223 0.022168 1.000000 0.500
DRAW 0.011115 0.022260 1.000000 0.500
DRAW 0.011008 0.022352 1.000000 0.500
DRAW 0.010902 0.022446 1.000000 0.500
DRAW 0.010798 0.022542 1.000000 0.500
DRAW 0.010695 0.022639 1.000000 0.500
DRAW 0.010594 0.022738 1.000000 0.500
DRAW 0.010540 0.022791 1.000000 0.500
DRAW 0.006848 0.026483 1.000000 0.500
DRAW 0.006758 0.026512 1.000000 0.500
DRAW 0.006625 0.026558 1.000000 0.500
DRAW 0.006359 0.026656 1.000000 0.500
DRAW 0.006228 0.026708 1.000000 0.500
DRAW 0.006097 0.026762 1.000000 0.500
DRAW 0.005967 0.026817 1.000000 0.500
DRAW 0.005837 0.026875 1.000000 0.500
DRAW 0.005709 0.026934 1.000000 0.500
DRAW 0.005581 0.026995 1.000000 0.500
DRAW 0.005455 0.027057 1.000000 0.500
DRAW 0.005329 0.027122 1.000000 0.500
DRAW 0.005204 0.027188 1.000000 0.500
DRAW 0.005080 0.027256 1.000000 0.500
DRAW 0.004957 0.027326 1.000000 0.500
DRAW 0.004835 0.027398 1.000000 0.500
DRAW 0.004714 0.027471 1.000000 0.500
DRAW 0.004594 0.027546 1.000000 0.500
DRAW 0.004475 0.027622 1.000000 0.500
DRAW 0.004357 0.027701 1.000000 0.500
DRAW 0.004241 0.027781 1.000000 0.500
DRAW 0.004125 0.027862 1.000000 0.500
DRAW 0.004011 0.027946 1.000000 0.500
DRAW 0.003898 0.028030 1.000000 0.500
DRAW 0.003786 0.028117 1.000000 0.500
DRAW 0.003675 0.028205 1.000000 0.500
DRAW 0.003566 0.028294 1.000000 0.500
DRAW 0.003458 0.028386 1.000000 0.500
DRAW 0.003351 0.028478 1.000000 0.500
DRAW 0.003245 0.028572 1.000000 0.500
DRAW 0.003141 0.028668 1.000000 0.500
DRAW 0.003038 0.028765 1.000000 0.500
DRAW 0.002937 0.028864 1.000000 0.500
DRAW 0.002883 0.028917 1.000000 0.500
DRAW -0.007837 0.039637 1.000000 0.500
DRAW -0.007936 0.039738 1.000000 0.500
DRAW -0.008034 0.039840 1.000000 0.500
DRAW -0.008131 0.039943 1.000000 0.500
DRAW -0.008226 0.040048 1.000000 0.500
DRAW -0.008319 0.040154 1.000000 0.500
DRAW -0.008411 0.040262 1.000000 0.500
DRAW -0.008501 0.040370 1.000000 0.500
DRAW -0.008590 0.040480 1.000000 0.500
DRAW -0.008677 0.040592 1.000000 0.500
DRAW -0.008763 0.040704 1.000000 0.500
DRAW -0.008847 0.040818 1.000000 0.500
DRAW -0.008930 0.040933 1.000000 0.500
DRAW -0.009011 0.041049 1.000000 0.500
DRAW -0.009090 0.041166 1.000000 0.500
DRAW -0.009167 0.041284 1.000000 0.500
DRAW -0.009243 0.041404 1.000000 0.500
DRAW -0.009317 0.041524 1.000000 0.500
DRAW -0.009390 0.041645 1.000000 0.500
DRAW -0.009461 0.041768 1.000000 0.500
DRAW -0.009530 0.041891 1.000000 0.500
DRAW -0.009597 0.042016 1.000000 0.500
DRAW -0.009662 0.042141 1.000000 0.500
DRAW -0.009726 0.042267 1.000000 0.500
DRAW -0.009788 0.042395 1.000000 0.500
DRAW -0.009848 0.042523 1.000000 0.500
DRAW -0.009906 0.042651 1.000000 0.500
DRAW -0.009963 0.042781 1.000000 0.500
DRAW -0.010017 0.042912 1.000000 0.500
DRAW -0.010070 0.043043 1.000000 0.500
DRAW -0.010121 0.043175 1.000000 0.500
DRAW -0.010170 0.043307 1.000000 0.500
DRAW -0.010217 0.043441 1.000000 0.500
DRAW -0.010262 0.043575 1.000000 0.500
DRAW -0.010271 0.043602 1.000000 0.500
DRAW -0.013962 0.047293 1.000000 0.500
DRAW -0.014061 0.047394 1.000000 0.500
DRAW -0.014159 0.047496 1.000000 0.500
DRAW -0.014256 0.047599 1.000000 0.500
DRAW -0.014351 0.047704 1.000000 0.500
DRAW -0.014444 0.047810 1.000000 0.500
DRAW -0.014536 0.047918 1.000000 0.500
DRAW -0.014626 0.048026 1.000000 0.500
DRAW -0.014715 0.048136 1.000000 0.500
DRAW -0.014802 0.048248 1.000000 0.500
DRAW -0.014888 0.048360 1.000000 0.500
DRAW -0.014972 0.048474 1.000000 0.500
DRAW -0.015055 0.048589 1.000000 0.500
DRAW -0.015136 0.048705 1.000000 0.500
DRAW -0.015215 0.048822 1.000000 0.500
DRAW -0.015292 0.048940 1.000000 0.500
DRAW -0.015368 0.049060 1.000000 0.500
DRAW -0.015442 0.049180 1.000000 0.500
DRAW -0.015515 0.049301 1.000000 0.500
DRAW -0.015586 0.049424 1.000000 0.500
DRAW -0.015655 0.049547 1.000000 0.500
DRAW -0.015722 0.049672 1.000000 0.500
DRAW -0.015787 0.049797 1.000000 0.500
DRAW -0.015851 0.049923 1.000000 0.500
DRAW -0.015913 0.050051 1.000000 0.500
DRAW -0.015973 0.050179 1.000000 0.500
DRAW -0.016031 0.050307 1.000000 0.500
DRAW -0.016080 0.050418 1.000000 0.500
DRAW -0.016097 0.050377 1.000000 0.500
DRAW -0.016155 0.050247 1.000000 0.500
DRAW -0.016214 0.050119 1.000000 0.500
DRAW -0.016275 0.049991 1.000000 0.500
DRAW -0.016337 0.049865 1.000000 0.500
DRAW -0.016402 0.049739 1.000000 0.500
DRAW -0.016468 0.049614 1.000000 0.500
DRAW -0.016536 0.049490 1.000000 0.500
DRAW -0.016606 0.049367 1.000000 0.500
DRAW -0.016678 0.049245 1.000000 0.500
DRAW -0.016751 0.049124 1.000000 0.500
DRAW -0.016826 0.049004 1.000000 0.500
DRAW -0.016829 0.048999 1.000000 0.500
DRAW -0.016835 0.048922 1.000000 0.500
DRAW -0.016848 0.048782 1.000000 0.500
DRAW -0.016863 0.048641 1.000000 0.500
DRAW -0.016880 0.048501 1.000000 0.500
DRAW -0.016899 0.048360 1.000000 0.500
DRAW -0.016920 0.048221 1.000000 0.500
DRAW -0.016943 0.048081 1.000000 0.500
DRAW -0.016968 0.047942 1.000000 0.500
DRAW -0.016994 0.047803 1.000000 0.500
DRAW -0.017023 0.047665 1.000000 0.500
DRAW -0.017054 0.047527 1.000000 0.500
DRAW -0.017087 0.047389 1.000000 0.500
DRAW -0.017121 0.047252 1.000000 0.500
DRAW -0.017158 0.047115 1.000000 0.500
DRAW -0.017196 0.046979 1.000000 0.500
DRAW -0.017237 0.046844 1.000000 0.500
DRAW -0.017279 0.046709 1.000000 0.500
DRAW -0.017323 0.046574 1.000000 0.500
DRAW -0.017369 0.046441 1.000000 0.500
DRAW -0.017467 0.046175 1.000000 0.500
DRAW -0.017519 0.046044 1.000000 0.500
DRAW -0.017573 0.045913 1.000000 0.500
DRAW -0.017628 0.045783 1.000000 0.500
DRAW -0.017686 0.045653 1.000000 0.500
DRAW -0.017745 0.045525 1.000000 0.500
DRAW -0.017806 0.045397 1.000000 0.500
DRAW -0.017868 0.045271 1.000000 0.500
DRAW -0.017933 0.045145 1.000000 0.500
DRAW -0.017999 0.045020 1.000000 0.500
DRAW -0.018067 0.044896 1.000000 0.500
DRAW -0.018137 0.044773 1.000000 0.500
DRAW -0.018209 0.044651 1.000000 0.500
DRAW -0.018282 0.044530 1.000000 0.500
DRAW -0.018357 0.044410 1.000000 0.500
DRAW -0.018433 0.044291 1.000000 0.500
DRAW -0.018512 0.044173 1.000000 0.500
DRAW -0.018592 0.044057 1.000000 0.500
DRAW -0.018673 0.043941 1.000000 0.500
DRAW -0.018754 0.043831 1.000000 0.500
DRAW -0.018769 0.043782 1.000000 0.500
DRAW -0.018811 0.043647 1.000000 0.500
DRAW -0.018855 0.043512 1.000000 0.500
DRAW -0.018901 0.043379 1.000000 0.500
DRAW -0.018999 0.043113 1.000000 0.500
DRAW -0.019051 0.042982 1.000000 0.500
DRAW -0.019105 0.042851 1.000000 0.500
DRAW -0.019160 0.042721 1.000000 0.500
DRAW -0.019218 0.042591 1.000000 0.500
DRAW -0.019277 0.042463 1.000000 0.500
DRAW -0.019338 0.042335 1.000000 0.500
DRAW -0.019400 0.042209 1.000000 0.500
DRAW -0.019465 0.042083 1.000000 0.500
DRAW -0.019531 0.041958 1.000000 0.500
DRAW -0.019599 0.041834 1.000000 0.500
DRAW -0.019669 0.041711 1.000000 0.500
DRAW -0.019741 0.041589 1.000000 0.500
DRAW -0.019814 0.041468 1.000000 0.500
DRAW -0.019889 0.041348 1.000000 0.500
DRAW -0.019965 0.041229 1.000000 0.500
DRAW -0.020044 0.041111 1.000000 0.500
DRAW -0.020124 0.040995 1.000000 0.500
DRAW -0.020205 0.040879 1.000000 0.500
DRAW -0.020284 0.040772 1.000000 0.500
DRAW -0.020300 0.040719 1.000000 0.500
DRAW -0.020342 0.040584 1.000000 0.500
DRAW -0.020386 0.040449 1.000000 0.500
DRAW -0.020432 0.040316 1.000000 0.500
DRAW -0.020530 0.040050 1.000000 0.500
DRAW -0.020582 0.039919 1.000000 0.500
DRAW -0.020636 0.039788 1.000000 0.500
DRAW -0.020691 0.039658 1.000000 0.500
DRAW -0.020749 0.039528 1.000000 0.500
DRAW -0.020808 0.039400 1.000000 0.500
DRAW -0.020869 0.039272 1.000000 0.500
DRAW -0.020931 0.039146 1.000000 0.500
DRAW -0.020996 0.039020 1.000000 0.500
DRAW -0.021062 0.038895 1.000000 0.500
DRAW -0.021130 0.038771 1.000000 0.500
DRAW -0.021200 0.038648 1.000000 0.500
DRAW -0.021272 0.038526 1.000000 0.500
DRAW -0.021345 0.038405 1.000000 0.500
DRAW -0.021420 0.038285 1.000000 0.500
DRAW -0.021496 0.038166 1.000000 0.500
DRAW -0.021575 0.038048 1.000000 0.500
DRAW -0.021655 0.037932 1.000000 0.500
DRAW -0.021736 0.037816 1.000000 0.500
DRAW -0.021817 0.037707 1.000000 0.500
DRAW -0.021832 0.037656 1.000000 0.500
DRAW -0.021874 0.037521 1.000000 0.500
DRAW -0.021918 0.037386 1.000000 0.500
